Time taken to write 101 records is 0.263000
Time taken to write 11 records is 0.054000 ms
Time taken to write 101 records is 0.183000 ms
Time taken to write 11 records is 0.071000 ms
Time taken to write 101 records is 0.233000 ms
Time taken to write 1001 records is 2.262000 ms
Time taken to write 11 records is 0.073000 ms
Time taken to write 101 records is 0.363000 ms
Time taken to write 1001 records is 2.244000 ms
Time taken to write 11 records is 0.054000 ms
Time taken to write 101 records is 0.229000 ms
Time taken to write 1001 records is 1.946000 ms
Time taken to write 11 records is 0.124000 ms
Time taken to write 101 records is 0.448000 ms
Time taken to write 1001 records is 2.204000 ms
Time taken to write 10 records is 0.052000 ms
Time taken to write 100 records is 0.267000 ms
Time taken to write 1000 records is 1.764000 ms
Time taken to write 10 records is 0.067000 ms
Time taken to write 100 records is 0.350000 ms
Time taken to write 1000 records is 2.570000 ms
Time taken to write 10 records is 0.043000 ms
Time taken to write 100 records is 0.240000 ms
Time taken to write 1000 records is 1.321000 ms
Time taken to write 10 records is 0.015000 ms
Time taken to write 100 records is 0.056000 ms
Time taken to write 1000 records is 0.573000 ms
Time taken to write 10 records is 0.111000 ms
Time taken to write 100 records is 0.471000 ms
Time taken to write 1000 records is 3.397000 ms
Time taken to write 10 records is 0.066000 ms
Time taken to write 100 records is 0.386000 ms
Time taken to write 1000 records is 2.461000 ms
